match	n	tag	per_adj	base	pref	revised_match
memperlua	2	memperlua<x>_X--	widlii			
memperluat	2	memperluat<x>_X--	widlii			
memperlus	2	memperlus<x>_X--	widlii			
mempermanen	2	mempermanen<x>_X--				
mempermasalahkanya	2	mempermasalahkanya<x>_X--				
mempermasalakan	2	mempermasalakan<x>_X--				
mempernalkan	2	mempernalkan<x>_X--				
memperoalkan	2	memperoalkan<x>_X--				
memperolehsesuatu	2	memperolehsesuatu<x>_X--				
memperolehtanggapan	2	memperolehtanggapan<x>_X--				
memperosok	2	memperosok<x>_X--				
memperosokkan	2	memperosokkan<x>_X--				
memperpandjang	2	memperpandjang<x>_X--	y	panjang	mem	memperpanjang
memperpang	2	memperpang<x>_X--				
memperpesar	2	memperpesar<x>_X--	y	besar	mem	memperbesar
mempersebahkan	2	mempersebahkan<x>_X--				
mempersempahkan	2	mempersempahkan<x>_X--				
mempersentase	2	mempersentase<x>_X--				
mempersialakan	2	mempersialakan<x>_X--				
mempersiapkanacara	2	mempersiapkanacara<x>_X--				
mempersilahakan	2	mempersilahakan<x>_X--				
mempersoalakan	2	mempersoalakan<x>_X--				
mempersoalan	2	mempersoalan<x>_X--				
mempersyarakat	2	mempersyarakat<x>_X--				
mempertaankan	2	mempertaankan<x>_X--				
mempertahanakn	2	mempertahanakn<x>_X--				
mempertahankankan	2	mempertahankankan<x>_X--				
mempertahankann	2	mempertahankann<x>_X--				
mempertahankna	2	mempertahankna<x>_X--				
mempertahanlan	2	mempertahanlan<x>_X--				
mempertahannkan	2	mempertahannkan<x>_X--				
mempertahnkan	2	mempertahnkan<x>_X--				
mempertakankan	2	mempertakankan<x>_X--				
mempertangggung	2	mempertangggung<x>_X--				
mempertanggugjawabkan	2	mempertanggugjawabkan<x>_X--				
mempertanggungjawawabkannya	2	mempertanggungjawawabkannya<x>_X--				
mempertangjawabkan	2	mempertangjawabkan<x>_X--				
mempertanyatakan	2	mempertanyatakan<x>_X--				
memperthitungkan	2	memperthitungkan<x>_X--				
mempertimbangnkan	2	mempertimbangnkan<x>_X--				
mempertimnbangkan	2	mempertimnbangkan<x>_X--				
mempertjepat	2	mempertjepat<x>_X--	y	cepat	mem	mempercepat
mempertujukkan	2	mempertujukkan<x>_X--				
memperubutkan	2	memperubutkan<x>_X--				
terpercara	2	terpercara<x>_X--				
terperihkan	2	terperihkan<x>_X--				
diperadilaankan	1	diperadilaankan<x>_X--				
diperagangkan	1	diperagangkan<x>_X--				
diperahnya	1	diperahnya<x>_X--				
diperaian	1	diperaian<x>_X--				
diperainan	1	diperainan<x>_X--				
diperakarsasi	1	diperakarsasi<x>_X--				
diperaljari	1	diperaljari<x>_X--				
diperanan	1	diperanan<x>_X--				
diperanankan	1	diperanankan<x>_X--				
diperancisasikan	1	diperancisasikan<x>_X--				
diperankakn	1	diperankakn<x>_X--				
diperankanya	1	diperankanya<x>_X--				
